S. No,participant_id,distribution_type,distribution_name,engagement_id,engagement_started_EDT,engagement_completed_EDT,engagement_participation_status,BrokerPanelId,Overquota_redirect_ARF_return_token,Q1_Location_in_BC,DQ_redirect_not_in_BC_return_token,Q1_Experience_with_AI,Q2_Experience_with_AI_animal,Q2_Experience_with_AI_animal_other_OE,Q2_Experience_with_AI_animal_other_OE_sentiment,Q2_Experience_with_AI_animal_other_OE_sentiment_percentage,Q3_AI_affecting_society_feeling,Q4A_Sector_AI_making_a_positive_impact_1,Q4A_Sector_AI_making_a_positive_impact_2,Q4A_Sector_AI_making_a_positive_impact_3,Q4A_Sector_AI_making_a_positive_impact_4,Q4A_Sector_AI_making_a_positive_impact_5,Q4A_Sector_AI_making_a_positive_impact_6,Q4A_Sector_AI_making_a_positive_impact_7,Q4A_Sector_AI_making_a_positive_impact_other_OE,Q4A_Sector_AI_making_a_positive_impact_other_OE_sentiment,Q4A_Sector_AI_making_a_positive_impact_other_OE_sentiment_percentage,Q4B_Sector_AI_making_a_negative_impact_1,Q4B_Sector_AI_making_a_negative_impact_2,Q4B_Sector_AI_making_a_negative_impact_3,Q4B_Sector_AI_making_a_negative_impact_4,Q4B_Sector_AI_making_a_negative_impact_5,Q4B_Sector_AI_making_a_negative_impact_6,Q4B_Sector_AI_making_a_negative_impact_7,Q4B_Sector_AI_making_a_negative_impact_other_OE,Q4B_Sector_AI_making_a_negative_impact_other_OE_sentiment,Q4B_Sector_AI_making_a_negative_impact_other_OE_sentiment_percentage,Q5_Art_vibe_AI,Q5_Art_vibe_AI_other_OE,Q5_Art_vibe_AI_other_OE_sentiment,Q5_Art_vibe_AI_other_OE_sentiment_percentage,Q6_AI_role_in_creative_fields_in_BC,Q7_AI_and_environment,Q8_AI_helping_BC_community,Q8_AI_helping_BC_community_video_OE_transcription,Q8_AI_helping_BC_community_video_OE_sentiment,Q8_AI_helping_BC_community_video_OE_sentiment_percentage,Q8_AI_helping_BC_community_text_OE,Q8_AI_helping_BC_community_text_OE_sentiment,Q8_AI_helping_BC_community_text_OE_sentiment_percentage,Q9_Jobs_in_BC_AI_Influence,Q10_AI_superpower_to_help_community,Q10_AI_superpower_to_help_community_other_OE,Q10_AI_superpower_to_help_community_other_OE_sentiment,Q10_AI_superpower_to_help_community_other_OE_sentiment_percentage,Q11_Gainer_advances_in_AI_1,Q11_Gainer_advances_in_AI_2,Q11_Gainer_advances_in_AI_3,Q11_Gainer_advances_in_AI_4,Q11_Gainer_advances_in_AI_5,Q11_Gainer_advances_in_AI_6,Q11_Gainer_advances_in_AI_other_OE,Q11_Gainer_advances_in_AI_other_OE_sentiment,Q11_Gainer_advances_in_AI_other_OE_sentiment_percentage,Q12_Most_trustworthy_advances_in_AI_1,Q12_Most_trustworthy_advances_in_AI_2,Q12_Most_trustworthy_advances_in_AI_3,Q12_Most_trustworthy_advances_in_AI_4,Q12_Most_trustworthy_advances_in_AI_5,Q12_Most_trustworthy_advances_in_AI_6,Q12_Most_trustworthy_advances_in_AI_7,Q12_Most_trustworthy_advances_in_AI_other_OE,Q12_Most_trustworthy_advances_in_AI_other_OE_sentiment,Q12_Most_trustworthy_advances_in_AI_other_OE_sentiment_percentage,Q13_AI_impact_worries,Q13_AI_impact_worries_videos_OE_transcription,Q13_AI_impact_worries_videos_OE_sentiment,Q13_AI_impact_worries_videos_OE_sentiment_percentage,Q13_AI_impact_worries_text_OE,Q13_AI_impact_worries_text_OE_sentiment,Q13_AI_impact_worries_text_OE_sentiment_percentage,Q14_Govt_role_in_managing_AI,Q15_Matters_most_BC_AI_future_1,Q15_Matters_most_BC_AI_future_2,Q15_Matters_most_BC_AI_future_3,Q15_Matters_most_BC_AI_future_4,Q15_Matters_most_BC_AI_future_5,Q15_Matters_most_BC_AI_future_6,Q15_Matters_most_BC_AI_future_7,Q15_Matters_most_BC_AI_future_other_OE,Q15_Matters_most_BC_AI_future_other_OE_sentiment,Q15_Matters_most_BC_AI_future_other_OE_sentiment_percentage,Q16_Indigenous_communities_involvement_AI,Q16_Indigenous_communities_involvement_AI_video_OE_transcription,Q16_Indigenous_communities_involvement_AI_video_OE_sentiment,Q16_Indigenous_communities_involvement_AI_video_OE_sentiment_percentage,Q16_Indigenous_communities_involvement_AI_text_OE,Q16_Indigenous_communities_involvement_AI_text_OE_sentiment,Q16_Indigenous_communities_involvement_AI_text_OE_sentiment_percentage,Q17_Advice_BC_Leaders,Q17_Advice_BC_Leaders_video_OE_transcription,Q17_Advice_BC_Leaders_video_OE_sentiment,Q17_Advice_BC_Leaders_video_OE_sentiment_percentage,Q17_Advice_BC_Leaders_text_OE,Q17_Advice_BC_Leaders_text_OE_sentiment,Q17_Advice_BC_Leaders_text_OE_sentiment_percentage,Completion_redirect_ARF_return_token,Age,AgeRollup_Broad,Gender,Year of Birth,Education,HH_Income_Fine_23,FirstNation_23,,Ethnicity_Roll_23,Vizmin_23,HH_Comp_23,KidsinHH_23,,,HH_Under18_23,Urban/ Rural
78,b95ec016-72b6-43c5-936b-441c3ea53e6d,Link,ARF,a623d8a9-c9a4-4f44-a4bc-d1c95e94b98a,2025-06-28 0:20,2025-06-28 0:26,Completed,arfid15464C60-2B34-43F3-A26C-2A763ADB4058,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Snail – Slow but steady,,,,Mostly concerned – I’m more worried about the downsides.,,,,,,,Not sure,,,,,,,Jobs and the economy,Government and public services,,,,,,Abstract installation – weird but interesting,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,I would hope that it could be used in a way to enhance peoples jobs and help with the work. ,POSITIVE,0.941405594,It’ll eliminate more jobs than it creates.,Fighting climate change,,,,Large corporations,,,,,,,,,,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,People using it for nefarious reasons,NEGATIVE,0.957812607,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,Privacy and data protection,,,Inclusivity and accessibility,,,,,,I'll type my answer 📲,,,,They need to be fully included in the conversation around use of ai,NEUTRAL,0.773335159,I'll type my answer 📲,,,,Rules and regulations to discourage misuse and keep things equitable. ,POSITIVE,0.572023809,,44,35-54,Female,1981,Some university,"$150,000 to less than $200,000",No ,,White,Not a visible minority,Four people [you and three others],10-12 years of age,,,Yes,Urban
79,973e1080-2691-4d45-97c1-e0bcdf250a64,Link,ARF,f55c2481-fa8b-42b8-ac6c-be7caed5e252,2025-06-30 18:58,2025-06-30 19:12,Completed,arfid16E578C0-4008-491C-9AE1-F3B73CA613D8,,Vancouver / Lower Mainland,,Regular user – I use AI often for work or personal stuff.,Octopus – Multi-tasking and complex,,,,Mostly concerned – I’m more worried about the downsides.,Healthcare and medicine,,,,,,,,,,,Environment and climate,"Arts, culture, and media",Jobs and the economy,,,,,,,Pop hit – catchy and accessible,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,Perhaps there are good applications in science and medical research,POSITIVE,0.762647748,It’ll eliminate more jobs than it creates.,I’d take AI’s powers away!,,,,Large corporations,,,,,,,,,,,Academic and research institutions,Community and Indigenous leaders,,,,,,,I'll type my answer 📲,,,,"It is rocket fuel for disinformation and nobody can trust the photos and videos they see anymore.

It will cause mass unemployment. Bosses are salivating at the prospect of removing and devaluing their workers ",NEGATIVE,0.996492088,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,Privacy and data protection,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,That’s up to them,NEUTRAL,0.984004259,I'll type my answer 📲,,,,"Do not uncritically believe the hype being peddled by the American tech industry, they don’t have our best interests at heart. ",NEGATIVE,0.945816278,,31,18-34,Male,1994,"University undergraduate degree, such as a bachelor's degree","$200,000 to less than $250,000",No ,,White,Not a visible minority,Three people [you and two others],Do not have children ,,,"No, no one under 18 here ",Urban
80,5c16a9f6-279d-4cbf-a69f-e06b58ab9bd9,Link,ARF,2a019898-7b63-444c-8f8f-e87ff921fde2,2025-07-02 12:10,2025-07-02 12:16,Completed,arfid16F8A6DE-CF35-4F9D-834E-1891B00DF4EC,,Vancouver / Lower Mainland,,Regular user – I use AI often for work or personal stuff.,Octopus – Multi-tasking and complex,,,,Mostly optimistic – I think it’ll do more good than harm.,Healthcare and medicine,,,Jobs and the economy,,,,,,,,Environment and climate,"Arts, culture, and media",,,,,,,,Sci-fi epic – bold and futuristic,,,,Little impact – Creativity will stay mostly human.,"Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,I'm not sure if will as it stands,NEGATIVE,0.588301599,It’ll mostly change jobs—not create or destroy them outright.,Making public services smarter,,,,Large corporations,Small businesses and startups,,,,,,,,,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,Social media,NEUTRAL,0.982650578,Balanced approach – Encourage innovation and set smart rules.,,,,,,,Not sure,,,,I'll type my answer 📲,,,,"With everything, they need to have a say",NEUTRAL,0.713200271,I'll type my answer 📲,,,,"Provide accessibility, education, and transparency ",NEUTRAL,0.620303988,,40,35-54,Male,1985,"University undergraduate degree, such as a bachelor's degree",Prefer not to say,No ,,White,Not a visible minority,Three people [you and two others],2-3 years of age,,,Yes,Urban
81,6bf6ec31-063e-4ece-a874-136d22f034bb,Link,ARF,b0fd2d3a-ed41-4d2d-b74e-a428ae2807b6,2025-06-30 12:01,2025-06-30 12:06,Completed,arfid175DBA95-9AE0-4C1B-A411-F40D20EB335F,,Kelowna,,Aware but not a user – I’ve heard about AI but haven’t used it myself.,Other,"mosquito- everywhere and annoying, want it to go away",NEGATIVE,0.925978243,Mostly concerned – I’m more worried about the downsides.,Healthcare and medicine,,,,,,,,,,,Environment and climate,"Arts, culture, and media",,Government and public services,,,,,,Other,BAD,NEGATIVE,0.983721316,Mostly harm creativity – AI might replace or devalue artists’ work.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,i hope it crumbles and goes back to being used minimally if at all.,NEGATIVE,0.891427755,It’ll eliminate more jobs than it creates.,I’d take AI’s powers away!,,,,Large corporations,,,,,,,,,,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,"it is terrible for the environment, diminishes and belittles artists' work and value, is dangerous to have available to the general public as evident by peoples' use of it to create false and harmful images of others",NEGATIVE,0.994626224,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",,,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,however they want to be,NEUTRAL,0.952854633,I'll type my answer 📲,,,,stop it,NEGATIVE,0.90542382,,25,18-34,Male,2000,Some college/trade school,"$40,000 to less than $50,000",No ,,Multiple visible minorities,Visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
82,83533bd9-ee22-4826-9606-7bcb9d408346,Link,ARF,18f8445a-7369-413a-9313-caa22f0025e6,2025-06-27 19:01,2025-06-27 19:10,Completed,arfid1814F294-2412-44DD-B9E9-5748BFBC2C2C,,Vancouver / Lower Mainland,,Aware but not a user – I’ve heard about AI but haven’t used it myself.,Snail – Slow but steady,,,,Mostly concerned – I’m more worried about the downsides.,,,,,,,Not sure,,,,Healthcare and medicine,,,Jobs and the economy,,,,,,,Abstract installation – weird but interesting,,,,Little impact – Creativity will stay mostly human.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,My biggest hope for AI is that there is more controls placed on it.,NEGATIVE,0.482199281,It’ll eliminate more jobs than it creates.,I’d take AI’s powers away!,,,,Large corporations,,,,,,,,,Government and public institutions,,,,,,,,,,I'll type my answer 📲,,,,My biggest worry is AI being used to cheat  or for fraudulent purposes.,NEGATIVE,0.857063293,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,Privacy and data protection,,,,,,,,,I'll type my answer 📲,,,,I think indigenous people should be no more involved than any other group of people.,POSITIVE,0.476641715,I'll type my answer 📲,,,,I have no answer for this.,NEGATIVE,0.926980674,,65,55 Plus,Female,1960,Some college/trade school,"$60,000 to less than $75,000",No ,,White,Not a visible minority,Two people [you and one other],18 years of age or more ,,,"No, no one under 18 here ",Urban
83,32520c46-19b4-4799-b0ea-1ee6834b8e3e,Link,ARF,06cb5f0e-5236-4c82-a15a-f4d4d872f4b9,2025-06-30 17:32,2025-06-30 17:36,Completed,arfid18F8D775-DBB4-4362-9DDA-D34F42255EB8,,Victoria,,Regular user – I use AI often for work or personal stuff.,Octopus – Multi-tasking and complex,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,Environment and climate,,Jobs and the economy,,,,,,,Healthcare and medicine,,"Arts, culture, and media",,,,,,,,Abstract installation – weird but interesting,,,,"Mixed effects – Some help, some harm.","Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,Helping by providing more answers,POSITIVE,0.896589816,It’ll mostly change jobs—not create or destroy them outright.,Not sure,,,,,Small businesses and startups,The general public,Everyone equally,,,,,,,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,Perhaps change in work place ,NEUTRAL,0.944154859,Hands-off promotion – Support innovation with minimal rules.,,,,,,,Not sure,,,,I'll type my answer 📲,,,,Providing more historical and accurate info ,POSITIVE,0.465242863,I'll type my answer 📲,,,,Not sure,NEUTRAL,0.592210114,,34,18-34,Female,1991,Some university,"$25,000 to less than $40,000","Yes, First Nations (North American Indian)",,First Nations,Not a visible minority,Three people [you and two others],Do not have children ,,,"No, no one under 18 here ",Urban
84,34f19595-2e93-4c1c-9af3-814bd441bfe8,Link,ARF,93dba735-e17b-41a1-8757-3f083a25cc12,2025-06-30 19:57,2025-06-30 20:04,Completed,arfid194F05C1-5327-4E52-A78C-85529407DE68,,Vancouver / Lower Mainland,,Aware but not a user – I’ve heard about AI but haven’t used it myself.,Other,dinosaur,NEUTRAL,0.996495068,Mostly concerned – I’m more worried about the downsides.,,,,,,,Not sure,,,,,,"Arts, culture, and media",,,,,,,,Not sure,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,I can't think of any positive effects. I mostly fear the loss of work opportunities for humans.,NEGATIVE,0.922758281,It’ll eliminate more jobs than it creates.,I’d take AI’s powers away!,,,,Large corporations,,,,,,,,,,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,"As a musician / writer, opportunities for making money have already been eroded in my lifetime. I fear this will continue. Also, AI makes up stuff. We are already dealing with mountains of mis-information.",NEGATIVE,0.683817267,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",,Privacy and data protection,,,,,,,,,I'll type my answer 📲,,,,I have no idea.,NEUTRAL,0.860421479,I'll type my answer 📲,,,,"Again, I have no idea.",NEUTRAL,0.896721601,,70,55 Plus,Female,1955,Some university,"$25,000 to less than $40,000",No ,,White,Not a visible minority,One in total [you live alone],18 years of age or more ,,,"No, no one under 18 here ",Urban
85,22aebb59-4b51-4cd9-bfd4-a13314bf2cf2,Link,ARF,403afec3-d17a-471d-a826-11d315ac79ef,2025-07-02 14:13,2025-07-02 14:23,Completed,arfid1951A4EF-76FE-4B86-9429-19DAC0B96A7E,,Vancouver / Lower Mainland,,Regular user – I use AI often for work or personal stuff.,Octopus – Multi-tasking and complex,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,,Jobs and the economy,Government and public services,,,,,,,Environment and climate,"Arts, culture, and media",Jobs and the economy,,,,,,,Not sure,,,,"Mixed effects – Some help, some harm.","Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,"I'd hope that people can get more clear on their purpose and value as individuals -- motivated by something beyond money, so they can use AI for good. Until then, I am concerned that people will just try to use AI for the cheapest way to get rich and it will dilute a lot of true potential value that could otherwise be created regardless of field. ",MIXED,0.763025403,It’ll eliminate more jobs than it creates.,Making public services smarter,,,,Large corporations,Small businesses and startups,,,,,,,,,Tech industry leaders,Academic and research institutions,,Other,,,Other informal leaders in the space. It's really anyone who wants to take the time to learn and share about it. ,POSITIVE,0.990378499,I'll type my answer 📲,,,,"critical thinking and believability. Fake news, visuals that seem real but are not. The boomers are still struggling to learn how to use computers and even young people now are getting lost in the deep fakes. ",NEGATIVE,0.72643441,Balanced approach – Encourage innovation and set smart rules.,Ethical and unbiased AI,Privacy and data protection,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,I really don't know. It would be great to have knowlegde keepers help train AI so the information that is shared can be relevant and inclusive from the get go. ,POSITIVE,0.869520783,I'll type my answer 📲,,,,"Its like teaching someone how to use a knife, or fire. It can be a tool or a weapon. The responsibility is at the individual level to be committed to the community and their connection to a greater sense of belonging. How do we keep people safe and use tools to help us rather than harm us? ",POSITIVE,0.753004789,,36,35-54,Female,1989,"University undergraduate degree, such as a bachelor's degree","$150,000 to less than $200,000",No ,,Chinese,Visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
86,76bb209e-95b0-4774-8d70-39f4cbe78115,Link,ARF,a62aa118-8b1d-4be7-bf59-0ebe6ed86316,2025-06-27 21:03,2025-06-27 21:22,Completed,arfid196EAB7C-177E-4F5C-BC1A-E56DEC86590C,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,Snail – Slow but steady,,,,Not sure – I haven’t formed a strong opinion yet.,,,,,,,Not sure,,,,,,,,,,Not sure,,,,Sci-fi epic – bold and futuristic,,,,Mostly enhance creativity – AI tools will boost creative output.,Not sure,I'll type my answer 📲,,,,Not sure,NEUTRAL,0.592210114,It’ll mostly change jobs—not create or destroy them outright.,Making public services smarter,,,,Large corporations,Small businesses and startups,,,,,,,,,,,,,,None of the above,,,,I'll type my answer 📲,,,,Not sure,NEUTRAL,0.592210114,No special action – Let AI evolve on its own.,Ethical and unbiased AI,Privacy and data protection,Economic growth and innovation,,,,,,,,I'll type my answer 📲,,,,Not sure,NEUTRAL,0.592210114,I'll type my answer 📲,,,,Leave it alone to develop organically ,POSITIVE,0.495972544,,76,55 Plus,Male,1949,"University graduate degree, such as a master's or PhD","$60,000 to less than $75,000",No ,,White,Not a visible minority,One in total [you live alone],Do not have children ,,,"No, no one under 18 here ",Urban
87,169e4a75-e5ab-4844-9d0e-c72a421da81b,Link,ARF,b12cfaf4-5c9a-4e76-b7d1-04f93caa43a8,2025-06-27 15:44,2025-06-27 15:47,Completed,arfid19C71262-1362-4170-A2E5-184C5DB728B6,,Vancouver / Lower Mainland,,Regular user – I use AI often for work or personal stuff.,Owl – Wise and curious,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,Environment and climate,,,Government and public services,,,,,,,,"Arts, culture, and media",,,Other,,Education,NEUTRAL,0.996010184,Sci-fi epic – bold and futuristic,,,,"Mixed effects – Some help, some harm.","Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,I think it can help provide more efficient government services or health answers for those who don't have a family doctor. ,POSITIVE,0.986231983,It’ll mostly change jobs—not create or destroy them outright.,Making public services smarter,,,,Large corporations,Small businesses and startups,The general public,,,,,,,Government and public institutions,Tech industry leaders,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,Students will get dumber,NEGATIVE,0.985372126,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,Privacy and data protection,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,Ensure they are consulted,NEUTRAL,0.94847393,I'll type my answer 📲,,,,Use it ethically and take its answers with a grain of salt,NEUTRAL,0.293879986,,32,18-34,Female,1993,"University undergraduate degree, such as a bachelor's degree","$200,000 to less than $250,000",No ,,Chinese,Visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
88,d1a71236-3e35-44dc-a78e-b0187fa7ccee,Link,ARF,9b04b77b-3c2e-4264-93ac-d74f9ea1ba0f,2025-07-02 13:08,2025-07-02 13:37,Completed,arfid1A312BF1-8AB4-4A8B-B50D-64D691CD5C3C,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,I have no idea!,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,,,Government and public services,Other,,mundane tasks,NEUTRAL,0.902710438,,,"Arts, culture, and media",Jobs and the economy,,,,,,,Pop hit – catchy and accessible,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,"Given it's ability to rapidly process data and find patterns, allow for medical research breakthroughs.",POSITIVE,0.803795159,It’ll mostly change jobs—not create or destroy them outright.,Making public services smarter,,,,Large corporations,,,,,,,,,,,,,,Not sure,,,,,I'll type my answer 📲,,,,The general erosion of people thinking and being creative. ,NEGATIVE,0.659934044,Balanced approach – Encourage innovation and set smart rules.,,Privacy and data protection,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,The same way as any other group?,NEUTRAL,0.99172467,I'll type my answer 📲,,,,"You can't put the genie back in the bottle, proceed with caution.",NEGATIVE,0.657130659,,37,35-54,Male,1988,"University undergraduate degree, such as a bachelor's degree","$150,000 to less than $200,000",No ,,White,Not a visible minority,Four people [you and three others],2-3 years of age,4-5 years of age,,Yes,Urban
89,93a33972-2f92-4639-bf06-e73495abd479,Link,ARF,4bc958ae-9c67-49c6-8166-2cc2991f9ee2,2025-06-30 19:08,2025-06-30 19:14,Completed,arfid1A481D08-A834-46A2-BBB2-41FC593BD4A7,,Vancouver / Lower Mainland,,Occasional user – I’ve tried a few tools like ChatGPT or an AI art app.,I have no idea!,,,,Mixed/neutral – I see both the good and the bad.,Healthcare and medicine,,,Jobs and the economy,Government and public services,,,,,,,,,Jobs and the economy,,,,,,,Abstract installation – weird but interesting,,,,"Mixed effects – Some help, some harm.","Helpful, if used responsibly – It depends on good management.",I'll type my answer 📲,,,,Help create efficiency and solve problems ,POSITIVE,0.956068397,It’ll eliminate more jobs than it creates.,Solving tough local problems,,,,Large corporations,,The general public,Everyone equally,,,,,,,,Academic and research institutions,,,,,,,,I'll type my answer 📲,,,,Taking over jobs,NEGATIVE,0.586233974,Balanced approach – Encourage innovation and set smart rules.,Ethical and unbiased AI,Privacy and data protection,Economic growth and innovation,,,,,,,,I'll type my answer 📲,,,,N/A,NEUTRAL,0.998870075,I'll type my answer 📲,,,,?,NEUTRAL,0.995598435,,42,35-54,Female,1983,"University undergraduate degree, such as a bachelor's degree","$120,000 to less than $150,000",No ,,Chinese,Visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
90,1ba4a725-0eef-46b0-a06a-3bd1211b2191,Link,ARF,f1e11672-040c-40fa-a5ad-2e9675039ad6,2025-06-26 17:29,2025-06-26 17:34,Completed,arfid1B112B9A-00FC-42C3-8BAE-1A8D3C9168CE,,Vancouver / Lower Mainland,,Aware but not a user – I’ve heard about AI but haven’t used it myself.,Owl – Wise and curious,,,,Mostly concerned – I’m more worried about the downsides.,Healthcare and medicine,,,,,,,,,,,Environment and climate,,,,,,,,,Classical symphony – structured and elegant,,,,Mostly harm creativity – AI might replace or devalue artists’ work.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,I hope it can come up with solutions for local issues,POSITIVE,0.74306047,It’ll mostly change jobs—not create or destroy them outright.,Solving tough local problems,,,,Large corporations,,,,,,,,,,,Academic and research institutions,,,Not sure,,,,,I'll type my answer 📲,,,,I’m concerned about the massive amounts of energy required for it,NEGATIVE,0.95388329,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",,Privacy and data protection,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,They should have a say in how AI is used in their communities and should have equal access if desired,POSITIVE,0.805240631,I'll type my answer 📲,,,,Educate the public ,NEUTRAL,0.767584741,,67,55 Plus,Female,1958,"University undergraduate degree, such as a bachelor's degree","$60,000 to less than $75,000",No ,,White,Not a visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
91,7d547c21-a485-4b79-a806-521761b5ce35,Link,ARF,4a82af75-8fb5-4162-a769-6f4492ef95b2,2025-06-27 19:51,2025-06-27 19:57,Completed,arfid1B28622F-356A-457C-B893-3DE782948C76,,Vancouver / Lower Mainland,,Aware but not a user – I’ve heard about AI but haven’t used it myself.,Snail – Slow but steady,,,,Mostly concerned – I’m more worried about the downsides.,,,,,,,Not sure,,,,Healthcare and medicine,,,Jobs and the economy,,Other,,Fake news,NEGATIVE,0.998519599,Abstract installation – weird but interesting,,,,"Mixed effects – Some help, some harm.",Not much impact – It won’t make a big difference.,I'll type my answer 📲,,,,I have no hope for AI,NEGATIVE,0.957155764,It’ll eliminate more jobs than it creates.,Making public services smarter,,,,Large corporations,,,,,,,,,,,,,,,None of the above,,,,I'll type my answer 📲,,,,"Images of people taken and misused as if they had said or done something which they have not, then used to skew public opinion against them.",NEGATIVE,0.820637345,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",,Privacy and data protection,,,,,,,,,I'll type my answer 📲,,,,I have no idea,NEUTRAL,0.929773927,I'll type my answer 📲,,,,Remove the rights of social media to exploit images of people.,NEGATIVE,0.707652926,,64,55 Plus,Female,1961,High school graduate,"$40,000 to less than $50,000",No ,,White,Not a visible minority,Two people [you and one other],Do not have children ,,,"No, no one under 18 here ",Urban
92,d2b9be9e-4e4d-455e-94ef-51816b2caf76,Link,ARF,639b2ba2-c1e9-415c-8c5d-d468b0e19443,2025-06-30 13:20,2025-06-30 13:27,Completed,arfid1B3EA979-54E1-4EA8-808B-800B8F79A4C9,,Prince George,,Aware but not a user – I’ve heard about AI but haven’t used it myself.,Other,Koala. Diseased with the clap and requires human intervention to survive basic adversity ,NEGATIVE,0.693441093,Mostly concerned – I’m more worried about the downsides.,Healthcare and medicine,,,,,,,,,,,Environment and climate,"Arts, culture, and media",Jobs and the economy,,,,,,,Other,Stolen,NEUTRAL,0.999458015,Little impact – Creativity will stay mostly human.,"Could be harmful – AI might worsen things (e.g., energy use).",I'll type my answer 📲,,,,"Healthcare, helping doctors diagnose diseases",POSITIVE,0.56045711,It’ll eliminate more jobs than it creates.,I’d take AI’s powers away!,,,,Large corporations,,,,,,,,,,,,,,,None of the above,,,,I'll type my answer 📲,,,,"It's actively destroying the earth, wasting our resources and time for a buzz word",NEGATIVE,0.997220516,"Strong regulation – Focus on safety and ethics, even if it slows innovation.",Ethical and unbiased AI,Privacy and data protection,,Social and environmental good,,,,,,,I'll type my answer 📲,,,,What is this question? There is no relationship between a marketing buzz word and indigenous communities ,NEUTRAL,0.5896191,I'll type my answer 📲,,,,Fire who ever tells you AI is the future,NEUTRAL,0.638712943,,32,18-34,Male,1993,High school graduate,"$10,000 to less than $25,000",No ,,White,Not a visible minority,One in total [you live alone],Do not have children ,,,"No, no one under 18 here ",Urban
